#Example nr 1 of output depending on input.Input bus id.
VechileLongitude: 24749720 Vechicle Latitude: 59435530 VechicleId: 98 Vechicle number:4

#Example nr 2 of output depending on input. Input bus number.
Vechile Longitude: 24710320 Vechicle Latitude: 59389660 Vechicle Number: 36 Vechicle Id: 1007
Vechile Longitude: 24742530 Vechicle Latitude: 59425290 Vechicle Number: 36 Vechicle Id: 1014
Vechile Longitude: 24671670 Vechicle Latitude: 59397750 Vechicle Number: 36 Vechicle Id: 1061
Vechile Longitude: 24738880 Vechicle Latitude: 59413630 Vechicle Number: 36 Vechicle Id: 1114
Vechile Longitude: 24686940 Vechicle Latitude: 59387440 Vechicle Number: 36 Vechicle Id: 1443
Vechile Longitude: 24633830 Vechicle Latitude: 59412610 Vechicle Number: 36 Vechicle Id: 1447
Vechile Longitude: 24632250 Vechicle Latitude: 59410380 Vechicle Number: 36 Vechicle Id: 1454
Vechile Longitude: 24732660 Vechicle Latitude: 59405790 Vechicle Number: 36 Vechicle Id: 1888
Vechile Longitude: 24742590 Vechicle Latitude: 59424830 Vechicle Number: 36 Vechicle Id: 3542

How many busses use Gps:459

#Example of adding information to gps.txt from stops.txt
VechicleType;VechicleNumber;VechicleLongitude;VechicleLatitude;VechicleMFromStop;VechicleId;VechicleFirstStopId;VechicleFirstStopLongitude;VechicleFirstStopLatitude;VechicleLastStopId;VechicleLastStopLongitude;VechicleLastStopLatitude
1;3;24680380;59398520;76;416;11308-1;2475396;5946356;09501-1;2470183;5946356
2;0;24711380;59432700;329;418;Depoo;2475396;;Depoo;;
1;3;24755790;59435060;173;421;11308-1;2475396;5946356;09501-1;2470183;5946356
1;6;24707540;59428760;291;422;18910-1;2487484;5948104;18303-1;2489062;5948104
1;6;24755960;59434360;164;423;18910-1;2487484;5948104;18303-1;2489062;5948104
2;0;24710500;59432970;328;433;Depoo;2487484;;Depoo;;
1;3;24716790;59423900;24;435;11308-1;2475396;5946356;09501-1;2470183;5946356
1;6;24642960;59421720;226;438;18910-1;2487484;5948104;18303-1;2489062;5948104
1;3;24665710;59396990;265;439;11308-1;2475396;5946356;09501-1;2470183;5946356
1;6;24635720;59412530;185;440;18910-1;2487484;5948104;18303-1;2489062;5948104
2;0;24710980;59433000;330;441;Depoo;2487484;;Depoo;;
1;3;24717760;59425580;207;442;11308-1;2475396;5946356;09501-1;2470183;5946356
1;6;24635720;59412410;140;444;18910-1;2487484;5948104;18303-1;2489062;5948104
1;6;24738500;59431170;177;447;18910-1;2487484;5948104;18303-1;2489062;5948104
1;6;24646840;59419820;303;448;18910-1;2487484;5948104;18303-1;2489062;5948104
3;4;24759750;59437340;89;501;01606-1;2463655;5939580;00115-1;2459505;5939580
3;4;24772760;59429990;309;503;01606-1;2463655;5939580;00115-1;2459505;5939580
3;4;24734020;59411130;201;504;01606-1;2463655;5939580;00115-1;2459505;5939580
3;4;24742700;59428390;0;505;01606-1;2463655;5939580;00115-1;2459505;5939580
3;4;24813910;59426790;255;506;01606-1;2463655;5939580;00115-1;2459505;5939580
3;4;24802670;59426220;83;507;01606-1;2463655;5939580;00115-1;2459505;5939580
2;23;24705250;59390650;234;1001;03505-1;2466864;5942793;11601-1;2476540;5942793
2;18;24759290;59439440;49;1002;21211-1;2475644;5928550;20819-1;2453546;5928550
2;17;24707420;59403420;211;1004;02907-1;2469906;5942793;11601-1;2476540;5942793
2;18;24746190;59433640;207;1005;21211-1;2475644;5928550;20819-1;2453546;5928550
2;17;24765100;59427890;108;1006;02907-1;2469906;5942793;11601-1;2476540;5942793
2;36;24710320;59389660;249;1007;01610-1;2475064;5943576;21207-1;2475041;5943576
2;14;24759240;59439270;71;1008;21211-1;2475644;5938608;04402-1;2467751;5938608
2;18;24733710;59406900;206;1010;21211-1;2475644;5928550;20819-1;2453546;5928550
2;40;24759650;59439210;53;1012;21213-1;2475669;5946356;09501-1;2470183;5946356
2;36;24742530;59425290;179;1014;01610-1;2475064;5943576;21207-1;2475041;5943576
2;35;24757240;59437440;77;1018;21212-1;2475672;5944354;16602-1;2489003;5944354
2;23;24758500;59429000;129;1021;03505-1;2466864;5942793;11601-1;2476540;5942793
2;40;24759320;59439130;35;1023;21213-1;2475669;5946356;09501-1;2470183;5946356
2;40;24737950;59432060;249;1029;21213-1;2475669;5946356;09501-1;2470183;5946356
2;0;24853240;59430680;185;1030;Depoo;2475669;;Depoo;;
2;35;24845910;59436300;254;1034;21212-1;2475672;5944354;16602-1;2489003;5944354
2;18;24630970;59356810;357;1035;21211-1;2475644;5928550;20819-1;2453546;5928550
2;17A;24706510;59402530;5;1060;02907-1;2469906;5943435;12906-1;2476788;5943435
2;36;24671670;59397750;169;1061;01610-1;2475064;5943576;21207-1;2475041;5943576
2;40;24712760;59441090;326;1063;21213-1;2475669;5946356;09501-1;2470183;5946356
2;40;24695090;59444100;90;1064;21213-1;2475669;5946356;09501-1;2470183;5946356
2;40;24739300;59431590;92;1065;21213-1;2475669;5946356;09501-1;2470183;5946356
2;15;24794960;59423160;270;1067;21212-1;2475672;5941905;13805-1;2483112;5941905
2;18;24739870;59414970;19;1068;21211-1;2475644;5928550;20819-1;2453546;5928550
2;40;24713960;59441050;64;1069;21213-1;2475669;5946356;09501-1;2470183;5946356
2;0;24874260;59364400;287;1070;Depoo;2475669;;Depoo;;
2;15;24843410;59415860;272;1072;21212-1;2475672;5941905;13805-1;2483112;5941905
2;17;24724960;59423810;132;1073;02907-1;2469906;5942793;11601-1;2476540;5942793
2;23;24725340;59423840;137;1074;03505-1;2466864;5942793;11601-1;2476540;5942793
2;40;24733460;59434160;332;1086;21213-1;2475669;5946356;09501-1;2470183;5946356
2;11;24701140;59405520;205;1101;03505-1;2466864;5943315;12220-1;2477774;5943315
2;24;24728870;59429270;296;1102;03405-1;2468757;5943366;21205-1;2475188;5943366
2;45;24726410;59398280;194;1103;01610-1;2475064;5944490;13510-1;2489665;5944490
2;11;24709340;59415420;200;1105;03505-1;2466864;5943315;12220-1;2477774;5943315
2;56;24835430;59440010;264;1108;16601-1;2489803;5943398;21203-2;2475198;5943398
2;24A;24744330;59433110;274;1109;01802-1;2466863;5943366;21205-1;2475188;5943366
2;24A;24655920;59405020;324;1110;01802-1;2466863;5943366;21205-1;2475188;5943366
2;3;24742500;59442690;166;1112;11308-1;2475396;5946356;09501-1;2470183;5946356
2;24A;24701040;59405430;203;1113;01802-1;2466863;5943366;21205-1;2475188;5943366
2;36;24738880;59413630;192;1114;01610-1;2475064;5943576;21207-1;2475041;5943576
2;15;24757100;59437580;206;1115;21212-1;2475672;5941905;13805-1;2483112;5941905
2;8;24870590;59488310;242;1118;21216-1;2474168;5944050;18623-1;2473695;5944050
2;0;24635200;59412220;125;1119;Depoo;2474168;;Depoo;;
2;8;24871360;59488430;61;1120;21216-1;2474168;5944050;18623-1;2473695;5944050
2;0;24658330;59409150;244;1121;Depoo;2474168;;Depoo;;
2;11;24668070;59396960;84;1122;03505-1;2466864;5943315;12220-1;2477774;5943315
2;28;24668620;59405380;346;1123;11308-1;2475396;5941922;00901-1;2464261;5941922
2;9;24656660;59403290;329;1124;03505-1;2466864;5943315;12220-1;2477774;5943315
2;14;24679190;59376180;68;1126;21211-1;2475644;5938608;04402-1;2467751;5938608
2;3;24752020;59433530;151;1127;11308-1;2475396;5946356;09501-1;2470183;5946356
2;24;24725270;59428160;68;1129;03405-1;2468757;5943366;21205-1;2475188;5943366
2;9;24656880;59403110;329;1130;03505-1;2466864;5943315;12220-1;2477774;5943315
2;11;24708320;59413610;20;1131;03505-1;2466864;5943315;12220-1;2477774;5943315
2;8;24813260;59458510;36;1132;21216-1;2474168;5944050;18623-1;2473695;5944050
2;45;24683080;59389280;125;1139;01610-1;2475064;5944490;13510-1;2489665;5944490
2;11;24658320;59401920;329;1188;03505-1;2466864;5943315;12220-1;2477774;5943315
2;3;24696430;59448720;249;1189;11308-1;2475396;5946356;09501-1;2470183;5946356
2;11;24656030;59404890;54;1194;03505-1;2466864;5943315;12220-1;2477774;5943315
2;11;24656150;59404880;54;1195;03505-1;2466864;5943315;12220-1;2477774;5943315
2;9;24667840;59412160;42;1199;03505-1;2466864;5943315;12220-1;2477774;5943315
2;40;24735230;59432390;146;1440;21213-1;2475669;5946356;09501-1;2470183;5946356
2;23;24656020;59404960;326;1441;03505-1;2466864;5942793;11601-1;2476540;5942793
2;28;24736760;59413330;222;1442;11308-1;2475396;5941922;00901-1;2464261;5941922
2;36;24686940;59387440;112;1443;01610-1;2475064;5943576;21207-1;2475041;5943576
2;23;24722260;59427550;54;1444;03505-1;2466864;5942793;11601-1;2476540;5942793
2;36;24633830;59412610;13;1447;01610-1;2475064;5943576;21207-1;2475041;5943576
