#Example nr 1 of output depending on input.Input bus id.
VechileLongitude: 24749720 Vechicle Latitude: 59435530 VechicleId: 98 Vechicle number:4

#Example nr 2 of output depending on input. Input bus number.
Vechile Longitude: 24710320 Vechicle Latitude: 59389660 Vechicle Number: 36 Vechicle Id: 1007
Vechile Longitude: 24742530 Vechicle Latitude: 59425290 Vechicle Number: 36 Vechicle Id: 1014
Vechile Longitude: 24671670 Vechicle Latitude: 59397750 Vechicle Number: 36 Vechicle Id: 1061
Vechile Longitude: 24738880 Vechicle Latitude: 59413630 Vechicle Number: 36 Vechicle Id: 1114
Vechile Longitude: 24686940 Vechicle Latitude: 59387440 Vechicle Number: 36 Vechicle Id: 1443
Vechile Longitude: 24633830 Vechicle Latitude: 59412610 Vechicle Number: 36 Vechicle Id: 1447
Vechile Longitude: 24632250 Vechicle Latitude: 59410380 Vechicle Number: 36 Vechicle Id: 1454
Vechile Longitude: 24732660 Vechicle Latitude: 59405790 Vechicle Number: 36 Vechicle Id: 1888
Vechile Longitude: 24742590 Vechicle Latitude: 59424830 Vechicle Number: 36 Vechicle Id: 3542

How many busses use Gps:459

#Example of adding information to gps.txt from stops.txt
VechicleType;VechicleNumber;VechicleLongitude;VechicleLatitude;VechicleMFromStop;VechicleId;VechicleFirstStopId;VechicleFirstStopLongitude;VechicleFirstStopLatitude;VechicleLastStopId;VechicleLastStopLongitude;VechicleLastStopLatitude
2;16;24753690;59432240;149;2363;01610-1;2475064;5943111;07501-1;2476120;5943111
2;32;24734330;59422230;304;2365;06101-1;2471786;5946116;09004-1;2466765;5946116
2;10;24629870;59360320;172;2366;01610-1;2475064;5938608;04402-1;2467751;5938608
2;32;24717270;59372050;192;2367;06101-1;2471786;5946116;09004-1;2466765;5946116
2;48;24759410;59439120;55;2368;21213-1;2475669;5946356;09501-1;2470183;5946356
2;19;24850110;59440860;338;2369;21212-1;2475672;5943199;14404-1;2481361;5943199
2;16;24635440;59412000;136;2370;01610-1;2475064;5943111;07501-1;2476120;5943111
2;0;24658440;59401180;171;2371;Depoo;2475064;;Depoo;;
2;10;24652090;59412530;211;2372;01610-1;2475064;5938608;04402-1;2467751;5938608
2;27;24671550;59398970;167;2373;47007-1;2446973;5935620;04501-1;2461096;5935620
2;16;24748250;59413140;203;2374;01610-1;2475064;5943111;07501-1;2476120;5943111
2;26;24687080;59410450;202;2379;01606-1;2463655;5945467;09304-1;2468977;5945467
2;38;24882430;59486090;153;2381;21216-1;2474168;5949070;20812-1;2491596;5949070
2;61;24711200;59400010;7;2383;01901-1;2463762;5940496;06705-1;2471646;5940496
2;29;24855490;59451600;83;2385;21216-1;2474168;5944635;16501-1;2488588;5944635
2;10;24667000;59383670;257;2388;01610-1;2475064;5938608;04402-1;2467751;5938608
2;33;24705900;59441830;332;2389;06101-1;2471786;5944410;09502-1;2468813;5944410
2;46;24682930;59428910;76;2392;01610-1;2475064;5943315;12220-1;2477774;5943315
2;44;24847030;59443260;156;2394;21214-1;2475665;5943205;15605-1;2481328;5943205
2;3;24748410;59425280;180;2396;11308-1;2475396;5946356;09501-1;2470183;5946356
2;27;24666380;59382090;59;2397;47007-1;2446973;5935620;04501-1;2461096;5935620
2;24;24747160;59432910;93;2398;03405-1;2468757;5943366;21205-1;2475188;5943366
2;46;24635510;59412060;119;2399;01610-1;2475064;5943315;12220-1;2477774;5943315
2;32;24727470;59426470;331;2704;06101-1;2471786;5946116;09004-1;2466765;5946116
2;61;24668810;59410420;286;2740;01901-1;2463762;5940496;06705-1;2471646;5940496
2;46;24646900;59411050;105;2741;01610-1;2475064;5943315;12220-1;2477774;5943315
2;0;24658330;59411190;285;2742;Depoo;2475064;;Depoo;;
2;22;24723400;59434150;69;2743;01610-1;2475064;5943500;12003-3;2475569;5943500
2;26;24704130;59443270;332;2744;01606-1;2463655;5945467;09304-1;2468977;5945467
2;32;24704610;59442680;152;2745;06101-1;2471786;5946116;09004-1;2466765;5946116
2;46;24635170;59412140;178;2746;01610-1;2475064;5943315;12220-1;2477774;5943315
2;46;24646320;59419480;141;2747;01610-1;2475064;5943315;12220-1;2477774;5943315
2;10;24639100;59383950;13;2758;01610-1;2475064;5938608;04402-1;2467751;5938608
2;46;24758410;59435460;94;2759;01610-1;2475064;5943315;12220-1;2477774;5943315
2;33;24717910;59366040;9;2777;06101-1;2471786;5944410;09502-1;2468813;5944410
2;4;24577020;59436980;291;2779;01606-1;2463655;5939580;00115-1;2459505;5939580
2;1A;24777620;59439170;75;2788;21215-1;2472978;5953875;20803-1;2479468;5953875
2;14;24701930;59381640;231;2789;21211-1;2475644;5938608;04402-1;2467751;5938608
2;14;24757480;59436330;175;2792;21211-1;2475644;5938608;04402-1;2467751;5938608
2;16;24758780;59430720;50;2798;01610-1;2475064;5943111;07501-1;2476120;5943111
2;0;24840190;59431980;266;3044;Depoo;2475064;;Depoo;;
2;0;24884400;59442400;270;3045;Depoo;2475064;;Depoo;;
2;50;24874160;59437480;66;3046;16601-1;2489803;5943777;14903-1;2481895;5943777
2;51;24895190;59447930;103;3047;21214-1;2475665;5944635;16501-1;2488588;5944635
2;50;24806080;59429520;53;3226;16601-1;2489803;5943777;14903-1;2481895;5943777
2;68;24895360;59447710;160;3400;16303-1;2489711;5943398;21203-2;2475198;5943398
2;56;24890850;59443630;66;3401;16601-1;2489803;5943398;21203-2;2475198;5943398
2;56;24757530;59435510;282;3402;16601-1;2489803;5943398;21203-2;2475198;5943398
2;68;24895510;59447060;222;3403;16303-1;2489711;5943398;21203-2;2475198;5943398
2;7;24841760;59415860;268;3404;16601-1;2489803;5941905;13805-1;2483112;5941905
2;68;24783920;59431970;110;3406;16303-1;2489711;5943398;21203-2;2475198;5943398
2;63;24879830;59454750;88;3407;16502-1;2480795;5943325;12218-1;2474402;5943325
2;60;24814160;59444530;41;3408;16502-1;2480795;5943325;12218-1;2474402;5943325
2;0;24863840;59434410;249;3409;Depoo;2480795;;Depoo;;
2;68;24758810;59435240;90;3410;16303-1;2489711;5943398;21203-2;2475198;5943398
2;63;24895400;59447660;164;3411;16502-1;2480795;5943325;12218-1;2474402;5943325
2;67;24888360;59443000;70;3413;16601-1;2489803;5943398;21203-2;2475198;5943398
2;60;24862040;59448340;159;3414;16502-1;2480795;5943325;12218-1;2474402;5943325
2;53;24876400;59442880;84;3415;16303-1;2489711;5943398;21203-2;2475198;5943398
2;67;24896830;59445210;13;3417;16601-1;2489803;5943398;21203-2;2475198;5943398
2;0;24849580;59431670;67;3418;Depoo;2489803;;Depoo;;
2;19;24783180;59440080;245;3419;21212-1;2475672;5943199;14404-1;2481361;5943199
2;0;24661560;59411840;346;3421;Depoo;2475672;;Depoo;;
2;53;24754140;59433240;243;3422;16303-1;2489711;5943398;21203-2;2475198;5943398
2;53;24885770;59446360;248;3423;16303-1;2489711;5943398;21203-2;2475198;5943398
2;67;24793410;59434950;257;3424;16601-1;2489803;5943398;21203-2;2475198;5943398
2;68;24759530;59435440;286;3425;16303-1;2489711;5943398;21203-2;2475198;5943398
2;56;24763840;59434860;98;3426;16601-1;2489803;5943398;21203-2;2475198;5943398
2;67;24768780;59434370;286;3427;16601-1;2489803;5943398;21203-2;2475198;5943398
2;51;24793710;59442920;240;3429;21214-1;2475665;5944635;16501-1;2488588;5944635
2;44;24760210;59439110;64;3430;21214-1;2475665;5943205;15605-1;2481328;5943205
2;6;24859170;59488600;108;3431;18910-1;2487484;5948104;18303-1;2489062;5948104
2;54;24859600;59448030;270;3432;17201-1;2490472;5943366;21204-1;2475291;5943366
2;7;24827510;59438920;350;3434;16601-1;2489803;5941905;13805-1;2483112;5941905
2;58;24819500;59438500;262;3435;16303-1;2489711;5943777;14903-1;2481895;5943777
2;51;24759920;59439180;63;3436;21214-1;2475665;5944635;16501-1;2488588;5944635
2;19;24759310;59439090;78;3437;21212-1;2475672;5943199;14404-1;2481361;5943199
2;53;24769700;59434110;102;3438;16303-1;2489711;5943398;21203-2;2475198;5943398
2;58;24799910;59426210;219;3439;16303-1;2489711;5943777;14903-1;2481895;5943777
2;55;24836830;59435460;274;3500;15604-1;2480647;5942594;14904-1;2480170;5942594
2;50;24831290;59434060;253;3501;16601-1;2489803;5943777;14903-1;2481895;5943777
2;7;24896610;59445140;303;3502;16601-1;2489803;5941905;13805-1;2483112;5941905
2;54;24782170;59425270;135;3504;17201-1;2490472;5943366;21204-1;2475291;5943366
2;68;24872480;59443130;266;3506;16303-1;2489711;5943398;21203-2;2475198;5943398
2;19;24802740;59443370;92;3513;21212-1;2475672;5943199;14404-1;2481361;5943199
2;54;24772700;59426790;287;3514;17201-1;2490472;5943366;21204-1;2475291;5943366
2;0;24866920;59442630;256;3515;Depoo;2490472;;Depoo;;
2;53;24895340;59447690;182;3516;16303-1;2489711;5943398;21203-2;2475198;5943398
2;35;24785390;59440520;236;3518;21212-1;2475672;5944354;16602-1;2489003;5944354
2;63;24764920;59437490;255;3520;16502-1;2480795;5943325;12218-1;2474402;5943325
2;58;0;0;999;3522;16303-1;2489711;5943777;14903-1;2481895;5943777
2;31;24836740;59434890;180;3523;15605-1;2481328;5943366;21204-1;2475291;5943366
2;31;24753850;59432920;126;3524;15605-1;2481328;5943366;21204-1;2475291;5943366
2;53;24800540;59435070;272;3525;16303-1;2489711;5943398;21203-2;2475198;5943398
2;51;24881190;59442950;88;3527;21214-1;2475665;5944635;16501-1;2488588;5944635
2;58;24895320;59447770;122;3528;16303-1;2489711;5943777;14903-1;2481895;5943777
2;54;24836150;59428450;289;3529;17201-1;2490472;5943366;21204-1;2475291;5943366
2;50;24896990;59445390;2;3530;16601-1;2489803;5943777;14903-1;2481895;5943777
2;31;24835980;59434680;73;3531;15605-1;2481328;5943366;21204-1;2475291;5943366
2;51;24780950;59439560;77;3532;21214-1;2475665;5944635;16501-1;2488588;5944635
2;51;24868440;59442850;260;3533;21214-1;2475665;5944635;16501-1;2488588;5944635
2;58;24881920;59443110;75;3535;16303-1;2489711;5943777;14903-1;2481895;5943777
2;44;24796390;59443350;267;3538;21214-1;2475665;5943205;15605-1;2481328;5943205
2;50;24858860;59435270;336;3539;16601-1;2489803;5943777;14903-1;2481895;5943777
2;67;24754690;59433620;246;3540;16601-1;2489803;5943398;21203-2;2475198;5943398
2;67;24896760;59444800;2;3541;16601-1;2489803;5943398;21203-2;2475198;5943398
2;36;24742590;59424830;0;3542;01610-1;2475064;5943576;21207-1;2475041;5943576
2;60;24895100;59447940;83;3544;16502-1;2480795;5943325;12218-1;2474402;5943325
2;0;24661260;59411790;354;3546;Depoo;2480795;;Depoo;;
2;63;24824640;59447600;66;3548;16502-1;2480795;5943325;12218-1;2474402;5943325
2;68;24864780;59441660;77;3549;16303-1;2489711;5943398;21203-2;2475198;5943398
2;0;24853400;59431050;13;3550;Depoo;2489711;;Depoo;;
2;35;24896690;59445270;357;3551;21212-1;2475672;5944354;16602-1;2489003;5944354
2;63;24860630;59453710;243;3556;16502-1;2480795;5943325;12218-1;2474402;5943325
2;60;24876830;59449720;276;3559;16502-1;2480795;5943325;12218-1;2474402;5943325
2;54;24875560;59442850;90;3565;17201-1;2490472;5943366;21204-1;2475291;5943366
2;0;24888170;59363520;327;3566;Depoo;2490472;;Depoo;;
2;35;24896660;59444000;51;3591;21212-1;2475672;5944354;16602-1;2489003;5944354
2;54;24897240;59446900;141;3618;17201-1;2490472;5943366;21204-1;2475291;5943366
2;67;24887790;59442950;248;3621;16601-1;2489803;5943398;21203-2;2475198;5943398
2;31;24795940;59434920;79;3644;15605-1;2481328;5943366;21204-1;2475291;5943366
2;58;24862470;59441780;244;3648;16303-1;2489711;5943777;14903-1;2481895;5943777
2;60;24793670;59442950;244;3652;16502-1;2480795;5943325;12218-1;2474402;5943325
2;58;24882240;59445910;68;3660;16303-1;2489711;5943777;14903-1;2481895;5943777
2;67;24844580;59440430;266;3663;16601-1;2489803;5943398;21203-2;2475198;5943398
2;67;24796960;59434870;85;3673;16601-1;2489803;5943398;21203-2;2475198;5943398
2;56;24896950;59445240;354;3675;16601-1;2489803;5943398;21203-2;2475198;5943398
2;56;24783830;59432010;114;3686;16601-1;2489803;5943398;21203-2;2475198;5943398
2;56;24896200;59444630;197;3695;16601-1;2489803;5943398;21203-2;2475198;5943398
2;44;24759850;59439010;61;3772;21214-1;2475665;5943205;15605-1;2481328;5943205
2;0;24895290;59447800;98;3774;Depoo;2475665;;Depoo;;
2;60;24833100;59450880;214;3813;16502-1;2480795;5943325;12218-1;2474402;5943325
2;54;24840760;59430040;71;3826;17201-1;2490472;5943366;21204-1;2475291;5943366
2;60;24890790;59448990;180;3829;16502-1;2480795;5943325;12218-1;2474402;5943325
2;55;24816260;59426830;262;3839;15604-1;2480647;5942594;14904-1;2480170;5942594
2;50;24851560;59437000;72;3848;16601-1;2489803;5943777;14903-1;2481895;5943777
2;7;24795810;59425500;257;3878;16601-1;2489803;5941905;13805-1;2483112;5941905
2;68;24895530;59448280;70;3896;16303-1;2489711;5943398;21203-2;2475198;5943398
2;49;24837100;59435540;332;4042;15605-1;2481328;5949181;18806-1;2482975;5949181
2;12;24721650;59402380;262;4151;01610-1;2475064;5944635;16501-1;2488588;5944635
2;12;24828590;59436840;339;4153;01610-1;2475064;5944635;16501-1;2488588;5944635
2;12;24881630;59449360;103;4155;01610-1;2475064;5944635;16501-1;2488588;5944635
2;59;24716440;59438650;331;4160;21102-1;2473790;5945467;09304-1;2468977;5945467
2;65;24839900;59444020;110;4162;16007-1;2486190;5944422;13413-1;2483930;5944422
2;65;24862220;59448150;157;4164;16007-1;2486190;5944422;13413-1;2483930;5944422
2;20A;24742550;59427490;0;4167;20818-2;2461433;5943517;12305-2;2475970;5943517
2;57;24718780;59388270;228;4168;06611-1;2476499;5942907;07403-1;2474350;5942907
2;12;24757300;59411880;42;4169;01610-1;2475064;5944635;16501-1;2488588;5944635
2;13;24656570;59404710;225;4344;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24824520;59440400;12;4345;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24706930;59403460;300;4346;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24744430;59406860;56;4347;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24653260;59413200;39;4348;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24684820;59408350;27;4349;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24890120;59444880;70;4350;01610-1;2475064;5944357;16603-1;2489055;5944357
2;20;24739600;59415580;198;4400;10701-3;2476665;5938864;04607-1;2470380;5938864
2;65;24798150;59417540;358;4600;16007-1;2486190;5944422;13413-1;2483930;5944422
2;49;24877600;59471390;254;4601;15605-1;2481328;5949181;18806-1;2482975;5949181
2;20;24707630;59403010;120;4602;10701-3;2476665;5938864;04607-1;2470380;5938864
2;39;24748310;59425490;200;4603;11308-1;2475396;5943063;15201-1;2483441;5943063
2;65;24866590;59441470;334;4640;16007-1;2486190;5944422;13413-1;2483930;5944422
2;20A;24629180;59364990;195;4641;20818-2;2461433;5943517;12305-2;2475970;5943517
2;39;24806050;59439840;47;4642;11308-1;2475396;5943063;15201-1;2483441;5943063
2;13;24656690;59413880;357;4746;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24799600;59425810;76;4747;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24898550;59445400;75;4748;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24683030;59406720;208;4749;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24793530;59425180;255;4750;01610-1;2475064;5944357;16603-1;2489055;5944357
2;13;24827360;59438000;336;4775;01610-1;2475064;5944357;16603-1;2489055;5944357
2;2;24792430;59419440;325;4872;13601-1;2483651;5940834;10609-1;2480629;5940834
2;2;24806170;59408210;146;4873;13601-1;2483651;5940834;10609-1;2480629;5940834
2;2;24756940;59439850;119;4874;13601-1;2483651;5940834;10609-1;2480629;5940834
2;2;24757600;59441940;335;4875;13601-1;2483651;5940834;10609-1;2480629;5940834
2;12;24645700;59419520;81;4960;01610-1;2475064;5944635;16501-1;2488588;5944635
2;12;24671070;59410150;281;4961;01610-1;2475064;5944635;16501-1;2488588;5944635
2;12;24818490;59446120;238;4962;01610-1;2475064;5944635;16501-1;2488588;5944635
2;12;24634130;59412310;191;4963;01610-1;2475064;5944635;16501-1;2488588;5944635
2;49;24904520;59461700;162;4964;15605-1;2481328;5949181;18806-1;2482975;5949181
